sapsMLT sapsLat sapsVel normMLT probOcc dst_median
0.0 58.5 295.748304081 0.0 0.352781546811 -5.0
0.0 59.5 296.8805091 0.0 0.510176390773 -5.0
0.0 60.5 306.884179623 0.0 0.592944369064 -5.0
0.0 61.5 326.144950902 0.0 0.675712347354 -5.0
0.0 62.5 350.665233216 0.0 0.597014925373 -5.0
0.0 63.5 375.636969908 0.0 0.362279511533 -5.0
1.0 57.5 301.090813918 1.0 0.25644504749 -5.0
1.0 58.5 288.839831348 1.0 0.374491180461 -5.0
1.0 59.5 303.759511775 1.0 0.420624151967 -5.0
1.0 60.5 317.106935054 1.0 0.496607869742 -5.0
1.0 61.5 333.51188391 1.0 0.591587516961 -5.0
1.0 62.5 345.041375424 1.0 0.44776119403 -5.0
2.0 57.5 360.655111946 2.0 0.238805970149 -5.0
2.0 58.5 330.023087144 2.0 0.294436906377 -5.0
2.0 59.5 288.538971341 2.0 0.246947082768 -5.0
2.0 60.5 322.417909687 2.0 0.255088195387 -5.0
2.0 61.5 308.119715788 2.0 0.29986431479 -5.0
2.0 62.5 331.118794271 2.0 0.207598371777 -5.0
19.0 63.5 405.522288705 -5.0 0.229308005427 -5.0
19.0 64.5 429.035858403 -5.0 0.249660786974 -5.0
20.0 61.5 358.914884388 -4.0 0.244233378562 -5.0
20.0 62.5 355.113847165 -4.0 0.306648575305 -5.0
20.0 63.5 389.158437869 -4.0 0.373134328358 -5.0
20.0 64.5 419.212877177 -4.0 0.466757123474 -5.0
21.0 59.5 393.492708425 -3.0 0.225237449118 -5.0
21.0 60.5 424.508158589 -3.0 0.337856173677 -5.0
21.0 61.5 415.09909837 -3.0 0.481682496608 -5.0
21.0 62.5 435.403482718 -3.0 0.578018995929 -5.0
21.0 63.5 410.457636516 -3.0 0.625508819539 -5.0
21.0 64.5 408.101370364 -3.0 0.586160108548 -5.0
22.0 58.5 331.043535909 -2.0 0.204884667571 -5.0
22.0 59.5 339.621511732 -2.0 0.36092265943 -5.0
22.0 60.5 359.637727745 -2.0 0.572591587517 -5.0
22.0 61.5 417.714208961 -2.0 0.850746268657 -5.0
22.0 62.5 432.789347204 -2.0 1.0 -5.0
22.0 63.5 458.963680656 -2.0 0.801899592944 -5.0
22.0 64.5 434.351198568 -2.0 0.554952510176 -5.0
23.0 58.5 268.641422896 -1.0 0.244233378562 -5.0
23.0 59.5 314.526476953 -1.0 0.451831750339 -5.0
23.0 60.5 347.145191436 -1.0 0.663500678426 -5.0
23.0 61.5 417.50814593 -1.0 0.782903663501 -5.0
23.0 62.5 369.936424388 -1.0 0.78697421981 -5.0
23.0 63.5 382.633504323 -1.0 0.545454545455 -5.0
23.0 64.5 418.39092816 -1.0 0.290366350068 -5.0
0.0 55.5 380.643255273 0.0 0.221830985915 -95.0
1.0 54.5 394.119221271 1.0 0.207746478873 -95.0
1.0 55.5 378.811404573 1.0 0.211267605634 -95.0
1.0 56.5 253.568680183 1.0 0.204225352113 -95.0
17.0 56.5 807.385962659 -7.0 0.281690140845 -95.0
17.0 57.5 828.253353508 -7.0 0.260563380282 -95.0
17.0 58.5 598.911970219 -7.0 0.288732394366 -95.0
17.0 59.5 743.827139803 -7.0 0.30985915493 -95.0
17.0 60.5 626.536614673 -7.0 0.292253521127 -95.0
18.0 55.5 877.184704417 -6.0 0.429577464789 -95.0
18.0 56.5 839.742784195 -6.0 0.584507042254 -95.0
18.0 57.5 785.239325624 -6.0 0.591549295775 -95.0
18.0 58.5 772.934346353 -6.0 0.549295774648 -95.0
18.0 59.5 683.312898605 -6.0 0.43661971831 -95.0
18.0 60.5 627.349658207 -6.0 0.278169014085 -95.0
18.0 61.5 689.411862513 -6.0 0.204225352113 -95.0
19.0 54.5 782.478495188 -5.0 0.545774647887 -95.0
19.0 55.5 848.786471389 -5.0 0.792253521127 -95.0
19.0 56.5 856.020096038 -5.0 0.859154929577 -95.0
19.0 57.5 859.092619768 -5.0 0.764084507042 -95.0
19.0 58.5 698.701706624 -5.0 0.517605633803 -95.0
